rank,bigram,count,share_of_all_bigrams,movement_class,row_change,from_hand,from_finger,from_row,to_hand,to_finger,to_row
260,cy,1176324279,0.0004171861457499762,alternate_hands,True,L,middle,bottom,R,index,top
261,rp,1173542093,0.00041619943700407986,alternate_hands,False,L,index,top,R,pinky,top
262,sk,1112771273,0.0003946469241277682,alternate_hands,False,L,ring,home,R,middle,home
263,xi,1111463633,0.00039418316655567056,alternate_hands,True,L,ring,bottom,R,middle,top
264,oe,1089254517,0.00038630665183098036,alternate_hands,False,R,ring,top,L,middle,top
265,oy,1020190223,0.00036181283908123666,same_hand_different_fingers,False,R,ring,top,R,index,top
266,ws,989253674,0.00035084111991287353,same_finger_different_key,True,L,ring,top,L,ring,home
267,lv,984229060,0.0003490591288531265,alternate_hands,True,R,ring,home,L,index,bottom
268,dl,911886482,0.00032340266504614503,alternate_hands,False,L,middle,home,R,ring,home
269,rf,909634941,0.000322604150785616,same_finger_different_key,True,L,index,top,L,index,home
270,eu,878402090,0.00031152734742272863,alternate_hands,False,L,middle,top,R,index,top
271,dg,874188188,0.0003100328772623043,same_hand_different_fingers,False,L,middle,home,L,index,home
272,wr,867361010,0.00030761160268095306,same_hand_different_fingers,False,L,ring,top,L,index,top
273,xa,834649781,0.00029601048911654044,same_hand_different_fingers,True,L,ring,bottom,L,pinky,home
274,yi,812619095,0.00028819725500699606,same_hand_different_fingers,False,R,index,top,R,middle,top
275,nm,782441941,0.00027749485704436466,same_finger_different_key,False,R,index,bottom,R,index,bottom
276,eb,763383542,0.0002707357514431997,same_hand_different_fingers,True,L,middle,top,L,index,bottom
277,rb,753194669,0.00026712224389915793,same_finger_different_key,True,L,index,top,L,index,bottom
278,tm,746621025,0.0002647908857415045,alternate_hands,True,L,index,top,R,index,bottom
279,xc,746076293,0.000264597695268772,same_hand_different_fingers,False,L,ring,bottom,L,middle,bottom
280,eh,742240059,0.00026323716594431096,alternate_hands,True,L,middle,top,R,index,home
281,tc,736955048,0.00026136282448192903,same_hand_different_fingers,True,L,index,top,L,middle,bottom
282,gy,731420025,0.0002593998156813537,alternate_hands,True,L,index,home,R,index,top
283,ja,729206855,0.00025861490978535843,alternate_hands,False,R,index,home,L,pinky,home
284,hn,726288117,0.0002575797725545694,same_finger_different_key,True,R,index,home,R,index,bottom
285,yp,702499946,0.0002491432422957806,same_hand_different_fingers,False,R,index,top,R,pinky,top
286,za,702199296,0.00024903661607292787,same_finger_different_key,True,L,pinky,bottom,L,pinky,home
287,gg,697999944,0.00024754730610389725,same_key,False,L,index,home,L,index,home
288,ym,667551857,0.00023674882112168774,same_finger_different_key,True,R,index,top,R,index,bottom
289,sw,663415953,0.00023528201313365683,same_finger_different_key,True,L,ring,home,L,ring,top
290,bj,654853039,0.00023224515573657463,alternate_hands,True,L,index,bottom,R,index,home
291,lm,649112313,0.00023020919388787198,same_hand_different_fingers,True,R,ring,home,R,index,bottom
292,cs,643530723,0.00022822966999227055,same_hand_different_fingers,True,L,middle,bottom,L,ring,home
293,ii,642384029,0.00022782299229399052,same_key,False,R,middle,top,R,middle,top
294,ix,621227893,0.0002203199193791771,alternate_hands,True,R,middle,top,L,ring,bottom
295,xe,614533122,0.00021794560324881292,same_hand_different_fingers,True,L,ring,bottom,L,middle,top
296,oh,602121281,0.00021354371492525182,same_hand_different_fingers,True,R,ring,top,R,index,home
297,lk,555883002,0.00019714520156759115,same_hand_different_fingers,False,R,ring,home,R,middle,home
298,dv,537221821,0.00019052697025543044,same_hand_different_fingers,True,L,middle,home,L,index,bottom
299,lp,536595562,0.00019030486604223394,same_hand_different_fingers,True,R,ring,home,R,pinky,top
300,ax,531206960,0.0001883937857903907,same_hand_different_fingers,True,L,pinky,home,L,ring,bottom
301,ox,523764012,0.0001857541269441267,alternate_hands,True,R,ring,top,L,ring,bottom
302,uf,522547858,0.00018532281509504224,alternate_hands,True,R,index,top,L,index,home
303,dm,512522701,0.00018176736981177067,alternate_hands,True,L,middle,home,R,index,bottom
304,iu,490874936,0.0001740899395268762,same_hand_different_fingers,False,R,middle,top,R,index,top
305,sf,483979931,0.00017164460994197454,same_hand_different_fingers,False,L,ring,home,L,index,home
306,bt,482272940,0.00017103922160745399,same_finger_different_key,True,L,index,bottom,L,index,top
307,ka,478095427,0.0001695576568906465,alternate_hands,False,R,middle,home,L,pinky,home
308,yt,470429861,0.00016683904605210232,alternate_hands,False,R,index,top,L,index,top
309,ek,464449289,0.00016471802226078754,alternate_hands,True,L,middle,top,R,middle,home
310,pm,449910017,0.0001595616355773069,same_hand_different_fingers,True,R,pinky,top,R,index,bottom
311,ya,444542870,0.00015765816439119228,alternate_hands,True,R,index,top,L,pinky,home
312,gt,434302509,0.0001540263965080112,same_finger_different_key,True,L,index,home,L,index,top
