ngram,rank_books,share_books,rank_web,share_web,rank_subtlex,share_subtlex,rank_spread,stability_class,missing_from,gesture_tags
rbd,,0.00000000,8553,0.00000143,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
hlh,8554,0.00000005,10451,0.00000064,,0.00000000,,below-cut,"books,web,subtlex",
zme,,0.00000000,8554,0.00000143,,0.00000000,,below-cut,"books,web,subtlex",
rxm,,0.00000000,8555,0.00000143,,0.00000000,,below-cut,"books,web,subtlex",
cij,8557,0.00000005,11521,0.00000042,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
crb,8558,0.00000005,10694,0.00000057,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
qtd,8560,0.00000005,13377,0.00000018,,0.00000000,,below-cut,"books,web,subtlex",redirect
mlv,,0.00000000,8560,0.00000143,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
cmf,8561,0.00000005,9075,0.00000113,,0.00000000,,below-cut,"books,web,subtlex",
nmf,8563,0.00000005,10103,0.00000073,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
dkr,,0.00000000,8563,0.00000143,,0.00000000,,below-cut,"books,web,subtlex",
tgs,8564,0.00000005,9054,0.00000114,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
zti,,0.00000000,8565,0.00000143,,0.00000000,,below-cut,"books,web,subtlex",
phf,,0.00000000,8566,0.00000143,,0.00000000,,below-cut,"books,web,subtlex",
itq,,0.00000000,8568,0.00000143,,0.00000000,,below-cut,"books,web,subtlex",
aoe,8569,0.00000005,9717,0.00000086,,0.00000000,,below-cut,"books,web,subtlex",
bke,,0.00000000,8569,0.00000142,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
duz,8570,0.00000005,9216,0.00000106,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
gbc,,0.00000000,8571,0.00000142,,0.00000000,,below-cut,"books,web,subtlex",contains_same_finger
ppx,8572,0.00000005,11636,0.00000039,,0.00000000,,below-cut,"books,web,subtlex",
zch,8576,0.00000005,9203,0.00000107,,0.00000000,,below-cut,"books,web,subtlex",
fmp,,0.00000000,8576,0.00000142,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
kcn,8577,0.00000005,12530,0.00000027,,0.00000000,,below-cut,"books,web,subtlex",
hbt,8579,0.00000005,11558,0.00000041,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
tcg,,0.00000000,8579,0.00000142,,0.00000000,,below-cut,"books,web,subtlex",double_row_change
qai,8581,0.00000005,10073,0.00000074,,0.00000000,,below-cut,"books,web,subtlex","contains_same_finger,double_row_change"
