rank,bigram,count,share,movement_class,from_hand,from_finger,from_home_key,from_home_reach,to_hand,to_finger,to_home_key,to_home_reach,combined_home_reach,max_home_reach,same_finger_travel,row_change,row_span,roll_direction,outer_finger_involved,pinky_involved,top_words
293,ii,642384029,0.00022782299229399052,same_key,R,middle,k,1.0308,R,middle,k,1.0308,2.0616,1.0308,,False,0.0,same_finger,False,False,"ii, iii, vii, viii, xii, xiii, xvii, hawaii, xviii, xxii, xxiii, hawaiian"
294,ix,621227893,0.0002203199193791771,alternate_hands,R,middle,k,1.0308,L,ring,s,1.118,2.1488,1.118,,True,2.0,cross_hand,True,False,"six, fixed, mixed, appendix, mixture, matrix, sixty, sixth, ix, mix, sixteen, fix"
295,xe,614533122,0.00021794560324881292,same_hand_different_fingers,L,ring,s,1.118,L,middle,d,1.0308,2.1488,1.118,,True,2.0,inward,True,False,"exercise, fixed, executive, mixed, taxes, execution, exercises, executed, exercised, boxes, relaxed, execute"
296,oh,602121281,0.00021354371492525182,same_hand_different_fingers,R,ring,l,1.0308,R,index,j,1.0,2.0308,1.0308,,True,1.0,inward,True,False,"john, oh, johnson, alcohol, ohio, prohibited, prohibition, cohen, coherent, johnny, alcoholic, johnston"
297,lk,555883002,0.00019714520156759115,same_hand_different_fingers,R,ring,l,0.0,R,middle,k,0.0,0.0,0.0,,False,0.0,inward,True,False,"talk, walk, talking, walked, milk, walking, talked, folk, bulk, silk, walker, talks"
298,dv,537221821,0.00019052697025543044,same_hand_different_fingers,L,middle,d,0.0,L,index,f,1.118,1.118,1.118,,True,1.0,inward,False,False,"advantage, advanced, advance, advice, advantages, advertising, advances, advised, adverse, adventure, advocate, advisory"
299,lp,536595562,0.00019030486604223394,same_hand_different_fingers,R,ring,l,0.0,R,pinky,;,1.0308,1.0308,1.0308,,True,1.0,outward,True,True,"help, helped, philadelphia, helpful, helps, helping, ralph, sculpture, alpha, helpless, sulphur, pulp"
300,ax,531206960,0.0001883937857903907,same_hand_different_fingers,L,pinky,a,0.0,L,ring,s,1.118,1.118,1.118,,True,1.0,inward,True,True,"tax, maximum, taxes, axis, taxation, max, relaxation, fax, relaxed, saxon, taxable, wax"
301,ox,523764012,0.0001857541269441267,alternate_hands,R,ring,l,1.0308,L,ring,s,1.118,2.1488,1.118,,True,2.0,cross_hand,True,False,"box, oxford, approximately, oxygen, fox, boxes, orthodox, oxide, approximate, dioxide, toxic, oxidation"
302,uf,522547858,0.00018532281509504224,alternate_hands,R,index,j,1.0308,L,index,f,0.0,1.0308,1.0308,,True,1.0,cross_hand,False,False,"sufficient, suffering, suffered, manufacturing, sufficiently, suffer, manufacture, stuff, manufacturers, manufacturer, manufactured, insufficient"
303,dm,512522701,0.00018176736981177067,alternate_hands,L,middle,d,0.0,R,index,j,1.118,1.118,1.118,,True,1.0,cross_hand,False,False,"administration, administrative, admitted, amendment, admit, admission, administered, admiral, admiration, administrator, grandmother, administrators"
304,iu,490874936,0.0001740899395268762,same_hand_different_fingers,R,middle,k,1.0308,R,index,j,1.0308,2.0616,1.0308,,False,0.0,inward,False,False,"medium, equilibrium, genius, sodium, calcium, triumph, radius, potassium, belgium, premium, symposium, magnesium"
305,sf,483979931,0.00017164460994197454,same_hand_different_fingers,L,ring,s,0.0,L,index,f,0.0,0.0,0.0,,False,0.0,inward,True,False,"successful, transfer, satisfaction, satisfied, transformation, satisfactory, successfully, transferred, satisfy, transformed, transform, transfers"
306,bt,482272940,0.00017103922160745399,same_finger_different_key,L,index,f,1.8028,L,index,f,1.25,3.0528,1.8028,2.136,True,2.0,same_finger,False,False,"obtained, doubt, obtain, debt, undoubtedly, obtaining, subtle, doubtless, debts, doubtful, doubts, debtor"
307,ka,478095427,0.0001695576568906465,alternate_hands,R,middle,k,0.0,L,pinky,a,0.0,0.0,0.0,,False,0.0,cross_hand,True,True,"remarkable, package, okay, kansas, karl, kant, remarkably, kate, alaska, packages, arkansas, nebraska"
308,yt,470429861,0.00016683904605210232,alternate_hands,R,index,j,1.6008,L,index,f,1.25,2.8508,1.6008,,False,0.0,cross_hand,False,False,"anything, everything, myth, analytical, rhythm, myths, analytic, presbyterian, mythology, rhythmic, psychoanalytic, lymphocytes"
309,ek,464449289,0.00016471802226078754,alternate_hands,L,middle,d,1.0308,R,middle,k,0.0,1.0308,1.0308,,True,1.0,cross_hand,False,False,"week, weeks, greek, seek, seeking, creek, weekly, seeks, greeks, cheek, cheeks, weekend"
310,pm,449910017,0.0001595616355773069,same_hand_different_fingers,R,pinky,;,1.0308,R,index,j,1.118,2.1488,1.118,,True,2.0,inward,True,True,"development, equipment, developments, developmental, pm, chapman, shipment, ppm, shipments, rpm, encampment, redevelopment"
