rank,ngram,count,share,cumulative_share
188,br,3145611704,0.0011155985184063137,0.9257329402876641
189,bi,3005679357,0.0010659711855756885,0.9267989114732397
190,pt,2982699529,0.0010578213360448539,0.9278567328092846
191,ak,2952167845,0.0010469932031918583,0.9289037260124764
192,pu,2947681332,0.001045402050905247,0.9299491280633817
193,ui,2852182384,0.0010115331265358833,0.9309606611899176
194,rg,2813274913,0.0009977345013122607,0.9319583956912298
195,ib,2780268452,0.0009860286830313163,0.9329444243742612
196,tl,2775935006,0.0009844918163128189,0.9339289161905739
197,ny,2760941827,0.0009791744504544292,0.9349080906410284
198,ki,2759841743,0.0009787843031012254,0.9358868749441296
199,rk,2736041446,0.0009703434723282896,0.9368572184164579
200,ys,2730343336,0.0009683226243432593,0.9378255410408012
201,ob,2725791138,0.0009667081767183874,0.9387922492175196
202,mm,2708822249,0.0009606901207061564,0.9397529393382257
203,fu,2706168901,0.0009597491046570832,0.9407126884428828
204,ph,2661480326,0.0009439001974329991,0.9416565886403158
205,og,2651165734,0.0009402421033527496,0.9425968307436685
206,ms,2617582287,0.0009283316556428383,0.9435251623993114
207,ye,2612941418,0.0009266857606412607,0.9444518481599526
208,ud,2577213760,0.0009140148635053416,0.9453658630234579
209,mb,2544901434,0.0009025552218191082,0.9462684182452771
210,ip,2515455253,0.0008921120651337005,0.9471605303104108
211,ub,2497666762,0.0008858033353629379,0.9480463336457737
212,oi,2474275212,0.0008775074676657127,0.9489238411134394
213,rl,2432373251,0.0008626468395880397,0.9497864879530274
214,gu,2418410978,0.0008576950869440064,0.9506441830399714
215,dr,2409399231,0.0008544990498779348,0.9514986820898494
216,hr,2379584978,0.0008439253556003175,0.9523426074454497
217,cc,2344219345,0.0008313828514739717,0.9531739902969237
218,tw,2322619238,0.0008237223232097947,0.9539977126201334
219,ft,2302659749,0.000816643643941075,0.9548143562640745
220,wn,2227183930,0.0007898759689146779,0.9556042322329893
221,nu,2217508482,0.0007864445487428901,0.9563906767817322
222,af,2092395523,0.000742072946387665,0.9571327497281198
223,hu,2077887429,0.0007369276170545124,0.9578696773451744
224,nn,2051719074,0.0007276469489955757,0.9585973242941699
225,eo,2044268477,0.0007250045774136436,0.9593223288715835
226,vo,2004982879,0.0007110718485686386,0.9600334007201522
227,rv,1953555667,0.000692833068035106,0.9607262337881873
228,nf,1894270041,0.0006718072826705972,0.9613980410708579
229,xp,1885334638,0.000668638321181966,0.9620666793920398
230,gn,1850801359,0.0006563910133406573,0.9627230704053805
231,sm,1838392669,0.0006519902425265863,0.9633750606479071
232,fl,1830098844,0.0006490488181701867,0.9640241094660773
233,iz,1814164135,0.0006433975365040388,0.9646675070025813
234,ok,1813376076,0.0006431180495439353,0.9653106250521253
235,nl,1798491132,0.000637839069480425,0.9659484641216056
236,my,1753447198,0.0006218641333591955,0.9665703282549649
