# provisional=true — until learner error/hesitation data exists (DEC-16)
# word_floor_subtlex_freqcount=250
# word_floor_subtlex_cdcount=100
# word_lower_ratio=0.5
# excluded_words=39
# word_floor_per_million=5.0
# source=Google Books word list ∩ SUBTLEX-US
# order=SUBTLEX-US frequency desc, then word
word,subtlex_freqcount,subtlex_cdcount,provisional
la,3518,1101,True
tape,3511,1484,True
suit,3499,1942,True
pictures,3477,1801,True
putting,3467,2537,True
involved,3465,2164,True
gas,3457,1607,True
books,3456,1783,True
relationship,3452,1870,True
neither,3451,2527,True
nine,3441,1969,True
rules,3438,1932,True
bother,3436,2383,True
especially,3428,2459,True
nervous,3425,2105,True
whether,3424,2253,True
dying,3416,2084,True
stuck,3399,2312,True
round,3393,1895,True
dirty,3389,2060,True
cat,3383,1386,True
breakfast,3381,1966,True
idiot,3377,2147,True
space,3369,1674,True
lived,3368,2229,True
prison,3368,1527,True
carry,3361,2181,True
bastard,3348,1669,True
cry,3348,1900,True
smoke,3337,1883,True
arm,3336,1945,True
film,3328,1013,True
government,3327,1523,True
tree,3315,1622,True
foot,3311,2054,True
contact,3305,1826,True
knock,3299,2088,True
agree,3298,2264,True
pardon,3297,1788,True
gift,3290,1877,True
gives,3290,2368,True
dreams,3285,1732,True
hat,3273,1728,True
board,3272,1682,True
sake,3272,2130,True
sweetheart,3272,1830,True
seriously,3270,2186,True
department,3256,1788,True
patient,3246,1460,True
awful,3234,2092,True
sad,3232,2003,True
wondering,3231,2318,True
roll,3227,1914,True
beginning,3219,2242,True
grand,3214,1614,True
usually,3214,2317,True
killer,3206,1402,True
laugh,3206,1932,True
doubt,3205,2165,True
listening,3205,2252,True
upon,3199,1817,True
double,3198,1972,True
twice,3191,2287,True
whose,3187,2272,True
outta,3185,1206,True
plenty,3178,2181,True
guilty,3177,1538,True
promised,3169,2160,True
fired,3159,1626,True
race,3157,1154,True
crap,3151,1996,True
chicken,3148,1570,True
bathroom,3145,1835,True
spot,3140,2029,True
reading,3133,1988,True
orders,3130,1551,True
weekend,3118,1614,True
action,3115,1857,True
eating,3102,2105,True
glass,3096,1841,True
type,3093,1917,True
guns,3092,1308,True
experience,3088,1991,True
obviously,3082,2146,True
wine,3078,1518,True
press,3070,1683,True
difficult,3068,2118,True
lots,3068,2057,True
rid,3052,2034,True
sea,3052,1353,True
arms,3050,1883,True
flight,3044,1358,True
staying,3040,2085,True
arrest,3037,1691,True
neck,3035,1961,True
grow,3034,2064,True
mention,3033,2211,True
favorite,3032,1974,True
wind,3028,1818,True
sleeping,3027,2041,True
notice,3022,2170,True
admit,3019,2125,True
extra,3017,2070,True
within,3017,1983,True
low,3016,2041,True
impossible,3015,2060,True
gay,3013,977,True
computer,3011,1224,True
angry,3008,1864,True
bunch,3003,2105,True
blame,2998,2105,True
pants,2996,1770,True
visit,2993,2091,True
clock,2990,1639,True
tea,2990,1407,True
fellow,2987,1525,True
kitchen,2974,1815,True
lay,2970,1951,True
hole,2969,1755,True
guard,2968,1569,True
learned,2964,2061,True
smile,2958,1775,True
feelings,2938,1869,True
fit,2937,2090,True
pal,2937,1602,True
bear,2928,1500,True
often,2925,2017,True
wild,2923,1777,True
silly,2912,1845,True
camera,2907,1387,True
begin,2906,2013,True
reach,2903,1993,True
beach,2888,1291,True
heaven,2887,1608,True
lock,2885,1866,True
leg,2882,1588,True
quickly,2881,1804,True
lights,2877,1710,True
worst,2874,2087,True
shooting,2871,1552,True
played,2870,1799,True
plans,2867,1883,True
bucks,2866,1596,True
suddenly,2854,1967,True
writing,2852,1636,True
track,2843,1772,True
teacher,2842,1305,True
ridiculous,2836,1989,True
legs,2835,1843,True
river,2829,1211,True
dare,2826,1687,True
burn,2816,1641,True
raise,2815,1872,True
n,2810,1082,True
decision,2808,1810,True
surprised,2808,2099,True
cross,2807,1700,True
cost,2801,1995,True
queen,2789,1188,True
fresh,2780,1953,True
innocent,2780,1546,True
emergency,2776,1646,True
dancing,2774,1393,True
medical,2774,1541,True
cell,2772,1459,True
gotten,2768,2134,True
seemed,2767,1924,True
bigger,2765,1948,True
closed,2758,1862,True
names,2746,1793,True
walked,2737,1907,True
bomb,2736,934,True
hanging,2735,1920,True
note,2731,1622,True
shop,2731,1613,True
sweetie,2731,1565,True
nuts,2729,1712,True
band,2724,1122,True
losing,2722,2016,True
price,2722,1644,True
steal,2720,1781,True
waste,2716,1960,True
client,2715,1020,True
stole,2711,1705,True
code,2709,1311,True
crying,2709,1664,True
pressure,2709,1655,True
places,2706,1973,True
dogs,2704,1282,True
accept,2692,1861,True
further,2690,1813,True
excellent,2688,1755,True
magic,2687,1223,True
drinking,2685,1753,True
keeps,2681,2041,True
corner,2679,1806,True
consider,2676,1965,True
ourselves,2676,1934,True
acting,2675,1813,True
herself,2675,1822,True
locked,2670,1735,True
laughing,2667,1515,True
address,2666,1688,True
copy,2666,1441,True
tells,2665,1981,True
warm,2659,1877,True
sold,2655,1641,True
pregnant,2653,1208,True
hall,2649,1573,True
treat,2646,1835,True
everywhere,2641,1933,True
papers,2638,1469,True
complete,2636,1866,True
cup,2634,1566,True
level,2633,1590,True
ways,2633,1921,True
passed,2631,1915,True
witness,2621,1222,True
eh,2619,1391,True
taste,2617,1825,True
hardly,2613,1858,True
camp,2612,1094,True
keeping,2608,2040,True
keys,2601,1427,True
beg,2600,1643,True
duty,2599,1531,True
interest,2598,1828,True
tight,2597,1813,True
bottle,2588,1561,True
helping,2588,1941,True
support,2587,1658,True
flying,2579,1501,True
decide,2571,1920,True
turns,2552,1898,True
moon,2548,1167,True
bottom,2546,1778,True
hoping,2544,1965,True
conversation,2543,1789,True
hero,2542,1381,True
asleep,2541,1705,True
final,2533,1712,True
continue,2527,1755,True
match,2521,1557,True
apologize,2518,1685,True
trial,2518,960,True
spirit,2517,1466,True
willing,2512,1822,True
chair,2511,1553,True
risk,2501,1700,True
study,2501,1419,True
