bigram,bigram_rank,word_rank,word,word_count
ge,79,11,generally,139841620
ge,79,12,longer,124113646
ie,80,1,society,226962849
ie,80,2,view,213769776
ie,80,3,experience,182659383
ie,80,4,field,176569485
ie,80,5,studies,159772512
ie,80,6,science,141250014
ie,80,7,countries,140381058
ie,80,8,believe,138049846
ie,80,9,series,122648090
ie,80,10,patient,116454325
ie,80,11,friends,114335214
ie,80,12,patients,114060991
wh,81,1,which,3140226612
wh,81,2,when,1519738651
wh,81,3,who,1464601967
wh,81,4,what,1222533828
wh,81,5,where,671644491
wh,81,6,while,483440546
wh,81,7,whole,264397495
wh,81,8,whether,245964864
wh,81,9,why,230806163
wh,81,10,white,223783182
wh,81,11,whose,196188708
wh,81,12,whom,167398469
ee,82,1,been,1619043628
ee,82,2,see,846494292
ee,82,3,between,744064796
ee,82,4,three,487787199
ee,82,5,need,273479350
ee,82,6,seen,232791574
ee,82,7,free,206158509
ee,82,8,seems,158520801
ee,82,9,keep,147405178
ee,82,10,indeed,147261279
ee,82,11,seemed,136340001
ee,82,12,feet,134348666
wi,83,1,with,5182797249
wi,83,2,will,1485140664
wi,83,3,without,465581954
wi,83,4,within,351785120
wi,83,5,following,282890287
wi,83,6,wife,119667451
wi,83,7,william,115262883
wi,83,8,wide,90243089
wi,83,9,otherwise,73189721
wi,83,10,wish,72239553
wi,83,11,growing,69385925
wi,83,12,window,59108775
em,84,1,them,1199636039
em,84,2,system,428655277
em,84,3,themselves,216975281
em,84,4,problem,207066989
em,84,5,members,190942415
em,84,6,problems,182033209
em,84,7,seems,158520801
em,84,8,systems,143847585
em,84,9,management,140362524
em,84,10,seemed,136340001
em,84,11,movement,133198779
em,84,12,seem,114793384
ad,85,1,had,2616021603
ad,85,2,made,737658132
ad,85,3,head,229586755
ad,85,4,already,198197475
ad,85,5,trade,157534593
ad,85,6,read,153605720
ad,85,7,instead,118485329
ad,85,8,addition,115111424
ad,85,9,reading,105673771
ad,85,10,added,104772904
ad,85,11,road,103446400
ad,85,12,lead,102763510
ol,86,1,old,383853789
ol,86,2,school,286198020
ol,86,3,following,282890287
ol,86,4,political,279042950
ol,86,5,whole,264397495
ol,86,6,control,254704442
ol,86,7,policy,191429651
ol,86,8,told,177717884
ol,86,9,role,140590569
ol,86,10,followed,115410114
ol,86,11,college,114625844
ol,86,12,vol,110098926
rt,87,1,part,515815125
rt,87,2,important,318798581
rt,87,3,certain,255354603
rt,87,4,court,235765991
rt,87,5,further,210653665
rt,87,6,party,203139462
rt,87,7,particular,188618420
rt,87,8,support,182544724
rt,87,9,north,178650422
rt,87,10,short,176858591
rt,87,11,art,165726241
rt,87,12,heart,161254474
po,88,1,upon,532434413
po,88,2,power,374440251
po,88,3,point,333858038
po,88,4,important,318798581
po,88,5,political,279042950
po,88,6,possible,272346265
po,88,7,position,201281266
po,88,8,policy,191429651
po,88,9,support,182544724
po,88,10,report,151675470
po,88,11,population,143726550
po,88,12,purpose,139327457
we,89,1,were,2270487439
we,89,2,we,2057296224
we,89,3,between,744064796
we,89,4,well,675415316
we,89,5,however,519207264
we,89,6,power,374440251
we,89,7,went,222172805
we,89,8,west,155720736
we,89,9,lower,145218962
we,89,10,twenty,119057697
we,89,11,followed,115410114
we,89,12,answer,109738829
na,90,1,national,265411421
na,90,2,nature,258607404
na,90,3,name,253016135
na,90,4,analysis,172535798
